,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
360,473,474,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.938660501023 39.706409224016),POINT (-104.946486657309 39.7106433366238),"LINESTRING (-104.938660501023 39.706409224016, -104.946486657309 39.7106433366238)",6,1266.41,"LINESTRING (-104.938660501023 39.706409224016, -104.946486657309 39.7106433366238)"
361,474,208,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.946486657309 39.7106433366238),POINT (-104.953445867539 39.7148102496787),"LINESTRING (-104.946486657309 39.7106433366238, -104.953445867539 39.7148102496787)",6,1166.89,"LINESTRING (-104.946486657309 39.7106433366238, -104.953445867539 39.7148102496787)"
362,208,475,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.953445867539 39.7148102496787),POINT (-104.959508332909 39.7177916667414),"LINESTRING (-104.953445867539 39.7148102496787, -104.959508332909 39.7177916667414)",6,952.29,"LINESTRING (-104.953445867539 39.7148102496787, -104.959508332909 39.7177916667414)"
363,475,476,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.959508332909 39.7177916667414),POINT (-104.9606 39.7181000000858),"LINESTRING (-104.959508332909 39.7177916667414, -104.9606 39.7181000000858)",6,154.0,"LINESTRING (-104.959508332909 39.7177916667414, -104.9606 39.7181000000858)"
364,476,477,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9606 39.7181000000858),POINT (-104.962333333333 39.7181000001811),"LINESTRING (-104.9606 39.7181000000858, -104.962333333333 39.7181000001811)",6,229.64,"LINESTRING (-104.9606 39.7181000000858, -104.962333333333 39.7181000001811)"
365,477,478,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.962333333333 39.7181000001811),POINT (-104.96435 39.7181000000965),"LINESTRING (-104.962333333333 39.7181000001811, -104.96435 39.7181000000965)",6,267.18,"LINESTRING (-104.962333333333 39.7181000001811, -104.96435 39.7181000000965)"
366,478,479,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.96435 39.7181000000965),POINT (-104.96655 39.7181000002252),"LINESTRING (-104.96435 39.7181000000965, -104.96655 39.7181000002252)",6,291.47,"LINESTRING (-104.96435 39.7181000000965, -104.96655 39.7181000002252)"
367,479,480,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.96655 39.7181000002252),POINT (-104.9677 39.7181),"LINESTRING (-104.96655 39.7181000002252, -104.9677 39.7181)",6,152.36,"LINESTRING (-104.96655 39.7181000002252, -104.9677 39.7181)"
368,480,481,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9677 39.7181),POINT (-104.9691 39.7181000000429),"LINESTRING (-104.9677 39.7181, -104.9691 39.7181000000429)",6,185.48,"LINESTRING (-104.9677 39.7181, -104.9691 39.7181000000429)"
369,481,482,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9691 39.7181000000429),POINT (-104.97112 39.7181000004787),"LINESTRING (-104.9691 39.7181000000429, -104.97112 39.7181000004787)",6,267.62,"LINESTRING (-104.9691 39.7181000000429, -104.97112 39.7181000004787)"
370,482,13,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.97112 39.7181000004787),POINT (-104.975818314504 39.719306681869),"LINESTRING (-104.97112 39.7181000004787, -104.975818314504 39.719306681869)",6,655.95,"LINESTRING (-104.97112 39.7181000004787, -104.975818314504 39.719306681869)"
371,13,483,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.975818314504 39.719306681869),POINT (-104.980062499284 39.7214500003318),"LINESTRING (-104.975818314504 39.719306681869, -104.980062499284 39.7214500003318)",6,671.77,"LINESTRING (-104.975818314504 39.719306681869, -104.980062499284 39.7214500003318)"
372,483,484,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.980062499284 39.7214500003318),POINT (-104.981646665151 39.7224600007313),"LINESTRING (-104.980062499284 39.7214500003318, -104.981646665151 39.7224600007313)",6,272.12,"LINESTRING (-104.980062499284 39.7214500003318, -104.981646665151 39.7224600007313)"
373,484,485,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.981646665151 39.7224600007313),POINT (-104.983524999438 39.7237500002011),"LINESTRING (-104.981646665151 39.7224600007313, -104.983524999438 39.7237500002011)",6,332.96,"LINESTRING (-104.981646665151 39.7224600007313, -104.983524999438 39.7237500002011)"
374,485,486,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.983524999438 39.7237500002011),POINT (-104.984649999964 39.7248500000107),"LINESTRING (-104.983524999438 39.7237500002011, -104.984649999964 39.7248500000107)",6,240.42,"LINESTRING (-104.983524999438 39.7237500002011, -104.984649999964 39.7248500000107)"
375,486,487,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.984649999964 39.7248500000107),POINT (-104.986055550694 39.7261666684503),"LINESTRING (-104.984649999964 39.7248500000107, -104.986055550694 39.7261666684503)",6,292.67,"LINESTRING (-104.984649999964 39.7248500000107, -104.986055550694 39.7261666684503)"
376,487,488,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.986055550694 39.7261666684503),POINT (-104.990568486576 39.7297500087921),"LINESTRING (-104.986055550694 39.7261666684503, -104.990568486576 39.7297500087921)",6,857.26,"LINESTRING (-104.986055550694 39.7261666684503, -104.990568486576 39.7297500087921)"
377,488,489,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.990568486576 39.7297500087921),POINT (-104.993936362258 39.7340363639271),"LINESTRING (-104.990568486576 39.7297500087921, -104.993936362258 39.7340363639271)",6,859.78,"LINESTRING (-104.990568486576 39.7297500087921, -104.993936362258 39.7340363639271)"
378,489,297,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.993936362258 39.7340363639271),POINT (-104.995419995558 39.7360933343469),"LINESTRING (-104.993936362258 39.7340363639271, -104.995419995558 39.7360933343469)",6,403.74,"LINESTRING (-104.993936362258 39.7340363639271, -104.995419995558 39.7360933343469)"
379,297,490,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.995419995558 39.7360933343469),POINT (-104.996985713311 39.7382000002136),"LINESTRING (-104.995419995558 39.7360933343469, -104.996985713311 39.7382000002136)",6,416.48,"LINESTRING (-104.995419995558 39.7360933343469, -104.996985713311 39.7382000002136)"
380,490,403,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.996985713311 39.7382000002136),POINT (-104.99966398726 39.7422800019868),"LINESTRING (-104.996985713311 39.7382000002136, -104.99966398726 39.7422800019868)",6,784.27,"LINESTRING (-104.996985713311 39.7382000002136, -104.99966398726 39.7422800019868)"
381,403,491,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.99966398726 39.7422800019868),POINT (-105.000540000023 39.7453400000275),"LINESTRING (-104.99966398726 39.7422800019868, -105.000540000023 39.7453400000275)",6,537.29,"LINESTRING (-104.99966398726 39.7422800019868, -105.000540000023 39.7453400000275)"
382,491,492,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.000540000023 39.7453400000275),POINT (-105.001299992917 39.7478640014827),"LINESTRING (-105.000540000023 39.7453400000275, -105.001299992917 39.7478640014827)",6,444.25,"LINESTRING (-105.000540000023 39.7453400000275, -105.001299992917 39.7478640014827)"
383,492,493,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.001299992917 39.7478640014827),POINT (-105.003366666763 39.7500000000667),"LINESTRING (-105.001299992917 39.7478640014827, -105.003366666763 39.7500000000667)",6,457.03,"LINESTRING (-105.001299992917 39.7478640014827, -105.003366666763 39.7500000000667)"
384,493,494,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.003366666763 39.7500000000667),POINT (-105.005231243404 39.7513187525619),"LINESTRING (-105.003366666763 39.7500000000667, -105.005231243404 39.7513187525619)",6,334.63,"LINESTRING (-105.003366666763 39.7500000000667, -105.005231243404 39.7513187525619)"
385,494,495,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.005231243404 39.7513187525619),POINT (-105.0069 39.7526),"LINESTRING (-105.005231243404 39.7513187525619, -105.0069 39.7526)",6,311.43,"LINESTRING (-105.005231243404 39.7513187525619, -105.0069 39.7526)"
386,495,496,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.0069 39.7526),POINT (-105.007649999383 39.7532000002252),"LINESTRING (-105.0069 39.7526, -105.007649999383 39.7532000002252)",6,142.92,"LINESTRING (-105.0069 39.7526, -105.007649999383 39.7532000002252)"
387,496,47,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.007649999383 39.7532000002252),POINT (-105.009406669807 39.7532433350607),"LINESTRING (-105.007649999383 39.7532000002252, -105.009406669807 39.7532433350607)",6,232.54,"LINESTRING (-105.007649999383 39.7532000002252, -105.009406669807 39.7532433350607)"
388,47,497,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-105.009406669807 39.7532433350607),POINT (-105.010086667509 39.7539000003253),"LINESTRING (-105.009406669807 39.7532433350607, -105.010086667509 39.7539000003253)",6,144.1,"LINESTRING (-105.009406669807 39.7532433350607, -105.010086667509 39.7539000003253)"
389,498,499,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.9404 39.65325),POINT (-104.935085571876 39.6591598356349),"LINESTRING (-104.9404 39.65325, -104.935085571876 39.6591598356349)",6,1236.34,"LINESTRING (-104.9404 39.65325, -104.935085571876 39.6591598356349)"
390,499,500,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.935085571876 39.6591598356349),POINT (-104.927733331653 39.6602166694537),"LINESTRING (-104.935085571876 39.6591598356349, -104.927733331653 39.6602166694537)",6,992.86,"LINESTRING (-104.935085571876 39.6591598356349, -104.927733331653 39.6602166694537)"
391,500,501,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.927733331653 39.6602166694537),POINT (-104.925619999919 39.6596200002298),"LINESTRING (-104.927733331653 39.6602166694537, -104.925619999919 39.6596200002298)",6,298.71,"LINESTRING (-104.927733331653 39.6602166694537, -104.925619999919 39.6596200002298)"
392,501,502,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.925619999919 39.6596200002298),POINT (-104.923270592854 39.6603176479883),"LINESTRING (-104.925619999919 39.6596200002298, -104.923270592854 39.6603176479883)",6,334.15,"LINESTRING (-104.925619999919 39.6596200002298, -104.923270592854 39.6603176479883)"
393,502,503,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.923270592854 39.6603176479883),POINT (-104.922150000036 39.6627000000107),"LINESTRING (-104.923270592854 39.6603176479883, -104.922150000036 39.6627000000107)",6,435.42,"LINESTRING (-104.923270592854 39.6603176479883, -104.922150000036 39.6627000000107)"
394,503,504,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.922150000036 39.6627000000107),POINT (-104.920872980226 39.6642973031071),"LINESTRING (-104.922150000036 39.6627000000107, -104.920872980226 39.6642973031071)",6,322.51,"LINESTRING (-104.922150000036 39.6627000000107, -104.920872980226 39.6642973031071)"
395,504,505,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.920872980226 39.6642973031071),POINT (-104.919874999647 39.6662750000509),"LINESTRING (-104.920872980226 39.6642973031071, -104.919874999647 39.6662750000509)",6,364.6,"LINESTRING (-104.920872980226 39.6642973031071, -104.919874999647 39.6662750000509)"
396,505,506,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.919874999647 39.6662750000509),POINT (-104.922016661838 39.6682833356262),"LINESTRING (-104.919874999647 39.6662750000509, -104.922016661838 39.6682833356262)",6,446.98,"LINESTRING (-104.919874999647 39.6662750000509, -104.922016661838 39.6682833356262)"
397,506,507,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.922016661838 39.6682833356262),POINT (-104.925388883386 39.6697666700537),"LINESTRING (-104.922016661838 39.6682833356262, -104.925388883386 39.6697666700537)",6,515.0,"LINESTRING (-104.922016661838 39.6682833356262, -104.925388883386 39.6697666700537)"
398,507,508,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.925388883386 39.6697666700537),POINT (-104.927322226097 39.6722962970755),"LINESTRING (-104.925388883386 39.6697666700537, -104.927322226097 39.6722962970755)",6,504.54,"LINESTRING (-104.925388883386 39.6697666700537, -104.927322226097 39.6722962970755)"
399,508,509,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.927322226097 39.6722962970755),POINT (-104.9256 39.6744),"LINESTRING (-104.927322226097 39.6722962970755, -104.9256 39.6744)",6,427.48,"LINESTRING (-104.927322226097 39.6722962970755, -104.9256 39.6744)"
400,509,376,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.9256 39.6744),POINT (-104.925199999928 39.6747500000429),"LINESTRING (-104.9256 39.6744, -104.925199999928 39.6747500000429)",6,80.19,"LINESTRING (-104.9256 39.6744, -104.925199999928 39.6747500000429)"
401,376,510,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.925199999928 39.6747500000429),POINT (-104.924550000036 39.6750500000107),"LINESTRING (-104.925199999928 39.6747500000429, -104.924550000036 39.6750500000107)",6,100.47,"LINESTRING (-104.925199999928 39.6747500000429, -104.924550000036 39.6750500000107)"
402,510,511,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.924550000036 39.6750500000107),POINT (-104.922573332539 39.6758066676013),"LINESTRING (-104.924550000036 39.6750500000107, -104.922573332539 39.6758066676013)",6,292.72,"LINESTRING (-104.924550000036 39.6750500000107, -104.922573332539 39.6758066676013)"
403,511,512,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.922573332539 39.6758066676013),POINT (-104.918894269379 39.6738257247952),"LINESTRING (-104.922573332539 39.6758066676013, -104.918894269379 39.6738257247952)",6,595.04,"LINESTRING (-104.922573332539 39.6758066676013, -104.918894269379 39.6738257247952)"
404,512,513,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.918894269379 39.6738257247952),POINT (-104.915124999086 39.6714750002332),"LINESTRING (-104.918894269379 39.6738257247952, -104.915124999086 39.6714750002332)",6,642.8,"LINESTRING (-104.918894269379 39.6738257247952, -104.915124999086 39.6714750002332)"
405,513,514,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.915124999086 39.6714750002332),POINT (-104.9142 39.6704),"LINESTRING (-104.915124999086 39.6714750002332, -104.9142 39.6704)",6,221.71,"LINESTRING (-104.915124999086 39.6714750002332, -104.9142 39.6704)"
406,514,515,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.9142 39.6704),POINT (-104.9135 39.6698),"LINESTRING (-104.9142 39.6704, -104.9135 39.6698)",6,138.74,"LINESTRING (-104.9142 39.6704, -104.9135 39.6698)"
407,515,516,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.9135 39.6698),POINT (-104.91265 39.6691000000107),"LINESTRING (-104.9135 39.6698, -104.91265 39.6691000000107)",6,164.87,"LINESTRING (-104.9135 39.6698, -104.91265 39.6691000000107)"
408,516,517,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.91265 39.6691000000107),POINT (-104.911599999904 39.6678000000286),"LINESTRING (-104.91265 39.6691000000107, -104.911599999904 39.6678000000286)",6,263.2,"LINESTRING (-104.91265 39.6691000000107, -104.911599999904 39.6678000000286)"
409,517,518,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.911599999904 39.6678000000286),POINT (-104.910627270662 39.6667000004997),"LINESTRING (-104.911599999904 39.6678000000286, -104.910627270662 39.6667000004997)",6,228.84,"LINESTRING (-104.911599999904 39.6678000000286, -104.910627270662 39.6667000004997)"
410,518,324,Trail,HIGH LINE CANAL TRAIL,HAMPDEN AVE,GOLDSMITH GULCH TRAIL,POINT (-104.910627270662 39.6667000004997),POINT (-104.904686423764 39.6626198058705),"LINESTRING (-104.910627270662 39.6667000004997, -104.904686423764 39.6626198058705)",6,1055.06,"LINESTRING (-104.910627270662 39.6667000004997, -104.904686423764 39.6626198058705)"
411,519,520,Shared Use Path,RAMP,BLAKE ST/20TH ST,RRUNPASS,POINT (-104.9943 39.7543),POINT (-104.9974 39.757),"LINESTRING (-104.9943 39.7543, -104.9974 39.757)",5,618.39,"LINESTRING (-104.9943 39.7543, -104.9974 39.757)"
412,520,521,Shared Use Path,RAMP,BLAKE ST/20TH ST,RRUNPASS,POINT (-104.9974 39.757),POINT (-104.9984 39.7579),"LINESTRING (-104.9974 39.757, -104.9984 39.7579)",5,203.22,"LINESTRING (-104.9974 39.757, -104.9984 39.7579)"
413,208,206,Shared Use Path,S STEELE ST,E BAYAUD AVE/E CHERRY CREEK NORTH DR,N STEELE ST,POINT (-104.953445867539 39.7148102496787),POINT (-104.949850000217 39.7171000000965),"LINESTRING (-104.953445867539 39.7148102496787, -104.949850000217 39.7171000000965)",5,617.52,"LINESTRING (-104.953445867539 39.7148102496787, -104.949850000217 39.7171000000965)"
414,522,523,Shared Roadway,S GARFIELD ST,N GARFIELD ST/E ELLSWORTH AVE,E DAKOTA AVE,POINT (-104.9438 39.7162),POINT (-104.9438 39.7147),"LINESTRING (-104.9438 39.7162, -104.9438 39.7147)",4,257.36,"LINESTRING (-104.9438 39.7162, -104.9438 39.7147)"
415,523,524,Shared Roadway,S GARFIELD ST,N GARFIELD ST/E ELLSWORTH AVE,E DAKOTA AVE,POINT (-104.9438 39.7147),POINT (-104.9438 39.7093),"LINESTRING (-104.9438 39.7147, -104.9438 39.7093)",4,926.56,"LINESTRING (-104.9438 39.7147, -104.9438 39.7093)"
416,112,525,Shared Roadway,26TH ST,LAWRENCE ST,BLAKE ST,POINT (-104.9845 39.7579),POINT (-104.9871 39.7599),"LINESTRING (-104.9845 39.7579, -104.9871 39.7599)",4,485.62,"LINESTRING (-104.9845 39.7579, -104.9871 39.7599)"
417,526,527,Shared Roadway,S JASON ST,S PLATTE RIVER DR/NMCHG,W LOUISIANA AVE,POINT (-104.999149999447 39.7080875000643),POINT (-104.9992 39.7062),"LINESTRING (-104.999149999447 39.7080875000643, -104.9992 39.7062)",4,323.92,"LINESTRING (-104.999149999447 39.7080875000643, -104.9992 39.7062)"
418,527,528,Shared Roadway,S JASON ST,S PLATTE RIVER DR/NMCHG,W LOUISIANA AVE,POINT (-104.9992 39.7062),POINT (-104.998134612629 39.7048076942343),"LINESTRING (-104.9992 39.7062, -104.998134612629 39.7048076942343)",4,277.5,"LINESTRING (-104.9992 39.7062, -104.998134612629 39.7048076942343)"
419,528,529,Shared Roadway,S JASON ST,S PLATTE RIVER DR/NMCHG,W LOUISIANA AVE,POINT (-104.998134612629 39.7048076942343),POINT (-104.99925 39.7040000000107),"LINESTRING (-104.998134612629 39.7048076942343, -104.99925 39.7040000000107)",4,202.63,"LINESTRING (-104.998134612629 39.7048076942343, -104.99925 39.7040000000107)"
420,529,530,Shared Roadway,S JASON ST,S PLATTE RIVER DR/NMCHG,W LOUISIANA AVE,POINT (-104.99925 39.7040000000107),POINT (-104.9992 39.7022),"LINESTRING (-104.99925 39.7040000000107, -104.9992 39.7022)",4,308.93,"LINESTRING (-104.99925 39.7040000000107, -104.9992 39.7022)"
421,530,531,Shared Roadway,S JASON ST,S PLATTE RIVER DR/NMCHG,W LOUISIANA AVE,POINT (-104.9992 39.7022),POINT (-104.9992 39.6931),"LINESTRING (-104.9992 39.7022, -104.9992 39.6931)",4,1561.63,"LINESTRING (-104.9992 39.7022, -104.9992 39.6931)"
422,533,534,Shared Roadway,S LOGAN ST,E MISSISSIPPI AVE,E HARVARD AVE,POINT (-104.9828 39.6967),POINT (-104.9828 39.693),"LINESTRING (-104.9828 39.6967, -104.9828 39.693)",4,635.01,"LINESTRING (-104.9828 39.6967, -104.9828 39.693)"
423,534,535,Shared Roadway,S LOGAN ST,E MISSISSIPPI AVE,E HARVARD AVE,POINT (-104.9828 39.693),POINT (-104.9828 39.6894),"LINESTRING (-104.9828 39.693, -104.9828 39.6894)",4,617.89,"LINESTRING (-104.9828 39.693, -104.9828 39.6894)"
424,535,536,Shared Roadway,S LOGAN ST,E MISSISSIPPI AVE,E HARVARD AVE,POINT (-104.9828 39.6894),POINT (-104.9828 39.6876),"LINESTRING (-104.9828 39.6894, -104.9828 39.6876)",4,308.96,"LINESTRING (-104.9828 39.6894, -104.9828 39.6876)"
425,536,537,Shared Roadway,S LOGAN ST,E MISSISSIPPI AVE,E HARVARD AVE,POINT (-104.9828 39.6876),POINT (-104.9829 39.6749),"LINESTRING (-104.9828 39.6876, -104.9829 39.6749)",4,2180.27,"LINESTRING (-104.9828 39.6876, -104.9829 39.6749)"
